model	nDCGRendle2020	Recall	strategy	cutoff	dataset_name	transactions	space_size	space_size_log	shape	shape_log	density	density_log	gini_item	gini_user	average_degree	average_degree_users	average_degree_items	average_degree_log	average_degree_users_log	average_degree_items_log	average_clustering_coefficient_dot	average_clustering_coefficient_min	average_clustering_coefficient_max	average_clustering_coefficient_dot_log	average_clustering_coefficient_min_log	average_clustering_coefficient_max_log	average_clustering_coefficient_dot_users	average_clustering_coefficient_dot_items	average_clustering_coefficient_min_users	average_clustering_coefficient_min_items	average_clustering_coefficient_max_users	average_clustering_coefficient_max_items	average_clustering_coefficient_dot_users_log	average_clustering_coefficient_dot_items_log	average_clustering_coefficient_min_users_log	average_clustering_coefficient_min_items_log	average_clustering_coefficient_max_users_log	average_clustering_coefficient_max_items_log	degree_assortativity_users	degree_assortativity_items	most_least_favorite	most_rated	highest_variance	most_recent_1	most_recent_2	most_recent_3	most_characteristic
UltraGCN	0.1652554977479422	0.1978329814928851	most_recent	50	amazon-book	363904	13.771483144527318	1.138980714897296	1.0944241871771498	0.0391856825499198	0.0019187809565461	-2.7169746004562807	0.3921565937284805	0.2494967838466474	26.397591672409416	25.258832511973345	27.6438772409602	1.4215643067526704	1.4024132731660546	1.4415989557159743	0.0275996652684197	0.0745429026507242	0.0436863050439093	-1.5590961850710052	-1.1275937001165424	-1.3596546860503602	0.028050438438026	0.0271063282086722	0.0715280231899706	0.0778424596539959	0.0450214930143695	0.0422250430346096	-1.5520603461822486	-1.5669293074549775	-1.1455237773259148	-1.108783449753052	-1.3465801069110064	-1.3744298991356636	0.2580979301651609	0.0571717842640302	0.8227247228815171	0.0944331477963947	0.2171974856798282	0.8813388440758843	0.9410016465827616	0.5206418201219498	0.2749855765530424
LightGCN	0.1368774636980882	0.1678816065497601	most_recent	50	amazon-book	363904	13.771483144527318	1.138980714897296	1.0944241871771498	0.0391856825499198	0.0019187809565461	-2.7169746004562807	0.3921565937284805	0.2494967838466474	26.397591672409416	25.258832511973345	27.6438772409602	1.4215643067526704	1.4024132731660546	1.4415989557159743	0.0275996652684197	0.0745429026507242	0.0436863050439093	-1.5590961850710052	-1.1275937001165424	-1.3596546860503602	0.028050438438026	0.0271063282086722	0.0715280231899706	0.0778424596539959	0.0450214930143695	0.0422250430346096	-1.5520603461822486	-1.5669293074549775	-1.1455237773259148	-1.108783449753052	-1.3465801069110064	-1.3744298991356636	0.2580979301651609	0.0571717842640302	0.8227247228815171	0.0944331477963947	0.2171974856798282	0.8813388440758843	0.9410016465827616	0.5206418201219498	0.2749855765530424
DirectAU	0.1313610765639028	0.158884871841342	most_recent	50	amazon-book	363904	13.771483144527318	1.138980714897296	1.0944241871771498	0.0391856825499198	0.0019187809565461	-2.7169746004562807	0.3921565937284805	0.2494967838466474	26.397591672409416	25.258832511973345	27.6438772409602	1.4215643067526704	1.4024132731660546	1.4415989557159743	0.0275996652684197	0.0745429026507242	0.0436863050439093	-1.5590961850710052	-1.1275937001165424	-1.3596546860503602	0.028050438438026	0.0271063282086722	0.0715280231899706	0.0778424596539959	0.0450214930143695	0.0422250430346096	-1.5520603461822486	-1.5669293074549775	-1.1455237773259148	-1.108783449753052	-1.3465801069110064	-1.3744298991356636	0.2580979301651609	0.0571717842640302	0.8227247228815171	0.0944331477963947	0.2171974856798282	0.8813388440758843	0.9410016465827616	0.5206418201219498	0.2749855765530424
DGCF	0.1343153627238135	0.1651091847403996	most_recent	50	amazon-book	363904	13.771483144527318	1.138980714897296	1.0944241871771498	0.0391856825499198	0.0019187809565461	-2.7169746004562807	0.3921565937284805	0.2494967838466474	26.397591672409416	25.258832511973345	27.6438772409602	1.4215643067526704	1.4024132731660546	1.4415989557159743	0.0275996652684197	0.0745429026507242	0.0436863050439093	-1.5590961850710052	-1.1275937001165424	-1.3596546860503602	0.028050438438026	0.0271063282086722	0.0715280231899706	0.0778424596539959	0.0450214930143695	0.0422250430346096	-1.5520603461822486	-1.5669293074549775	-1.1455237773259148	-1.108783449753052	-1.3465801069110064	-1.3744298991356636	0.2580979301651609	0.0571717842640302	0.8227247228815171	0.0944331477963947	0.2171974856798282	0.8813388440758843	0.9410016465827616	0.5206418201219498	0.2749855765530424
BPRMF	0.1272759049594462	0.1581734571081295	most_recent	50	amazon-book	363904	13.771483144527318	1.138980714897296	1.0944241871771498	0.0391856825499198	0.0019187809565461	-2.7169746004562807	0.3921565937284805	0.2494967838466474	26.397591672409416	25.258832511973345	27.6438772409602	1.4215643067526704	1.4024132731660546	1.4415989557159743	0.0275996652684197	0.0745429026507242	0.0436863050439093	-1.5590961850710052	-1.1275937001165424	-1.3596546860503602	0.028050438438026	0.0271063282086722	0.0715280231899706	0.0778424596539959	0.0450214930143695	0.0422250430346096	-1.5520603461822486	-1.5669293074549775	-1.1455237773259148	-1.108783449753052	-1.3465801069110064	-1.3744298991356636	0.2580979301651609	0.0571717842640302	0.8227247228815171	0.0944331477963947	0.2171974856798282	0.8813388440758843	0.9410016465827616	0.5206418201219498	0.2749855765530424
GFCF	0.1604249662308617	0.1912317908296924	most_recent	50	amazon-book	363904	13.771483144527318	1.138980714897296	1.0944241871771498	0.0391856825499198	0.0019187809565461	-2.7169746004562807	0.3921565937284805	0.2494967838466474	26.397591672409416	25.258832511973345	27.6438772409602	1.4215643067526704	1.4024132731660546	1.4415989557159743	0.0275996652684197	0.0745429026507242	0.0436863050439093	-1.5590961850710052	-1.1275937001165424	-1.3596546860503602	0.028050438438026	0.0271063282086722	0.0715280231899706	0.0778424596539959	0.0450214930143695	0.0422250430346096	-1.5520603461822486	-1.5669293074549775	-1.1455237773259148	-1.108783449753052	-1.3465801069110064	-1.3744298991356636	0.2580979301651609	0.0571717842640302	0.8227247228815171	0.0944331477963947	0.2171974856798282	0.8813388440758843	0.9410016465827616	0.5206418201219498	0.2749855765530424
SimpleX	0.1438812608228293	0.1705065590251646	most_recent	50	amazon-book	363904	13.771483144527318	1.138980714897296	1.0944241871771498	0.0391856825499198	0.0019187809565461	-2.7169746004562807	0.3921565937284805	0.2494967838466474	26.397591672409416	25.258832511973345	27.6438772409602	1.4215643067526704	1.4024132731660546	1.4415989557159743	0.0275996652684197	0.0745429026507242	0.0436863050439093	-1.5590961850710052	-1.1275937001165424	-1.3596546860503602	0.028050438438026	0.0271063282086722	0.0715280231899706	0.0778424596539959	0.0450214930143695	0.0422250430346096	-1.5520603461822486	-1.5669293074549775	-1.1455237773259148	-1.108783449753052	-1.3465801069110064	-1.3744298991356636	0.2580979301651609	0.0571717842640302	0.8227247228815171	0.0944331477963947	0.2171974856798282	0.8813388440758843	0.9410016465827616	0.5206418201219498	0.2749855765530424
UserKNN	0.1489452919848829	0.1742173861865531	most_recent	50	amazon-book	363904	13.771483144527318	1.138980714897296	1.0944241871771498	0.0391856825499198	0.0019187809565461	-2.7169746004562807	0.3921565937284805	0.2494967838466474	26.397591672409416	25.258832511973345	27.6438772409602	1.4215643067526704	1.4024132731660546	1.4415989557159743	0.0275996652684197	0.0745429026507242	0.0436863050439093	-1.5590961850710052	-1.1275937001165424	-1.3596546860503602	0.028050438438026	0.0271063282086722	0.0715280231899706	0.0778424596539959	0.0450214930143695	0.0422250430346096	-1.5520603461822486	-1.5669293074549775	-1.1455237773259148	-1.108783449753052	-1.3465801069110064	-1.3744298991356636	0.2580979301651609	0.0571717842640302	0.8227247228815171	0.0944331477963947	0.2171974856798282	0.8813388440758843	0.9410016465827616	0.5206418201219498	0.2749855765530424
ItemKNN	0.1580364039661055	0.1852803785061801	most_recent	50	amazon-book	363904	13.771483144527318	1.138980714897296	1.0944241871771498	0.0391856825499198	0.0019187809565461	-2.7169746004562807	0.3921565937284805	0.2494967838466474	26.397591672409416	25.258832511973345	27.6438772409602	1.4215643067526704	1.4024132731660546	1.4415989557159743	0.0275996652684197	0.0745429026507242	0.0436863050439093	-1.5590961850710052	-1.1275937001165424	-1.3596546860503602	0.028050438438026	0.0271063282086722	0.0715280231899706	0.0778424596539959	0.0450214930143695	0.0422250430346096	-1.5520603461822486	-1.5669293074549775	-1.1455237773259148	-1.108783449753052	-1.3465801069110064	-1.3744298991356636	0.2580979301651609	0.0571717842640302	0.8227247228815171	0.0944331477963947	0.2171974856798282	0.8813388440758843	0.9410016465827616	0.5206418201219498	0.2749855765530424
DGCF	0.0031243359766634	0.0042461615463524	most_favorite	1	amazon-book	14407	8.222654741626942	0.9150120551923752	3.0698913275090565	0.4871230019597612	0.0002130833155763	-3.671450554212495	0.4885217281753514	0.0	1.5085863874345549	1.0	3.0698913275090565	0.1785701845885094	0.0	0.4871230019597612	0.6415183246073298	0.6415183246073298	0.6415183246073298	-0.1927909337361556	-0.1927909337361556	-0.1927909337361556	0.8504893454570694	0.0	0.8504893454570694	0.0	0.8504893454570694	0.0	-0.0703311226606839		-0.0703311226606839		-0.0703311226606839		1.0		0.991983063788436	0.1206223342923061	0.0172832090759317	0.8635179018601784	0.8635179018601784	0.0	0.3067366181679105
