model	nDCGRendle2020	Recall	strategy	cutoff	dataset_name	transactions	space_size	space_size_log	shape	shape_log	density	density_log	gini_item	gini_user	average_degree	average_degree_users	average_degree_items	average_degree_log	average_degree_users_log	average_degree_items_log	average_clustering_coefficient_dot	average_clustering_coefficient_min	average_clustering_coefficient_max	average_clustering_coefficient_dot_log	average_clustering_coefficient_min_log	average_clustering_coefficient_max_log	average_clustering_coefficient_dot_users	average_clustering_coefficient_dot_items	average_clustering_coefficient_min_users	average_clustering_coefficient_min_items	average_clustering_coefficient_max_users	average_clustering_coefficient_max_items	average_clustering_coefficient_dot_users_log	average_clustering_coefficient_dot_items_log	average_clustering_coefficient_min_users_log	average_clustering_coefficient_min_items_log	average_clustering_coefficient_max_users_log	average_clustering_coefficient_max_items_log	degree_assortativity_users	degree_assortativity_items	most_least_favorite	most_rated	highest_variance	most_recent_1	most_recent_2	most_recent_3	most_characteristic
GFCF	0.1028952116947312	0.146460373858738	edge-dropout	763	amazon-software	16234	1.8056494676431525	0.2566334441812306	2.5175746924428823	0.4009823642443564	0.0049791894784947	-2.302841346731374	0.4709259764866767	0.2668289099150061	8.110916812390707	5.666317626527051	14.265377855887522	0.9090699471899628	0.753300915327678	1.1542832795720344	0.0869134289861609	0.2492489503135553	0.1251726077815547	-1.060913115565111	-0.6033666619992176	-0.9024906998068072	0.1041945587223218	0.0434068941055801	0.2792673270217715	0.1736754448047325	0.1505317506647823	0.0613290714366978	-0.9821549602934304	-1.3624412881319228	-0.5539798717611636	-0.7602615801692053	-0.8223718875506449	-1.2123336107726586	0.0929696845268279	-0.0476380682647613	0.7741290880311597	0.2371699460273444	0.3050865665955459	0.8939878839684241	0.9172385531780232	0.5131812189246698	0.4459799415627686
DGCF	0.1454359319953458	0.1980465759704454	edge-dropout	763	amazon-software	16234	1.8056494676431525	0.2566334441812306	2.5175746924428823	0.4009823642443564	0.0049791894784947	-2.302841346731374	0.4709259764866767	0.2668289099150061	8.110916812390707	5.666317626527051	14.265377855887522	0.9090699471899628	0.753300915327678	1.1542832795720344	0.0869134289861609	0.2492489503135553	0.1251726077815547	-1.060913115565111	-0.6033666619992176	-0.9024906998068072	0.1041945587223218	0.0434068941055801	0.2792673270217715	0.1736754448047325	0.1505317506647823	0.0613290714366978	-0.9821549602934304	-1.3624412881319228	-0.5539798717611636	-0.7602615801692053	-0.8223718875506449	-1.2123336107726586	0.0929696845268279	-0.0476380682647613	0.7741290880311597	0.2371699460273444	0.3050865665955459	0.8939878839684241	0.9172385531780232	0.5131812189246698	0.4459799415627686
LightGCN	0.1481640160611677	0.2041703039923735	edge-dropout	763	amazon-software	16234	1.8056494676431525	0.2566334441812306	2.5175746924428823	0.4009823642443564	0.0049791894784947	-2.302841346731374	0.4709259764866767	0.2668289099150061	8.110916812390707	5.666317626527051	14.265377855887522	0.9090699471899628	0.753300915327678	1.1542832795720344	0.0869134289861609	0.2492489503135553	0.1251726077815547	-1.060913115565111	-0.6033666619992176	-0.9024906998068072	0.1041945587223218	0.0434068941055801	0.2792673270217715	0.1736754448047325	0.1505317506647823	0.0613290714366978	-0.9821549602934304	-1.3624412881319228	-0.5539798717611636	-0.7602615801692053	-0.8223718875506449	-1.2123336107726586	0.0929696845268279	-0.0476380682647613	0.7741290880311597	0.2371699460273444	0.3050865665955459	0.8939878839684241	0.9172385531780232	0.5131812189246698	0.4459799415627686
UltraGCN	0.0706033391442192	0.1081965896876985	edge-dropout	763	amazon-software	16234	1.8056494676431525	0.2566334441812306	2.5175746924428823	0.4009823642443564	0.0049791894784947	-2.302841346731374	0.4709259764866767	0.2668289099150061	8.110916812390707	5.666317626527051	14.265377855887522	0.9090699471899628	0.753300915327678	1.1542832795720344	0.0869134289861609	0.2492489503135553	0.1251726077815547	-1.060913115565111	-0.6033666619992176	-0.9024906998068072	0.1041945587223218	0.0434068941055801	0.2792673270217715	0.1736754448047325	0.1505317506647823	0.0613290714366978	-0.9821549602934304	-1.3624412881319228	-0.5539798717611636	-0.7602615801692053	-0.8223718875506449	-1.2123336107726586	0.0929696845268279	-0.0476380682647613	0.7741290880311597	0.2371699460273444	0.3050865665955459	0.8939878839684241	0.9172385531780232	0.5131812189246698	0.4459799415627686
GFCF	0.0632920956873644	0.0794565947036212	node-dropout	842	amazon-software	1532	0.317483857857372	-0.4982783510702285	2.0269058295964126	0.3068335717632214	0.0151990158339616	-1.8181845325629575	0.4298493133042185	0.3272689988215994	4.539259259259259	3.3893805309734515	6.869955156950673	0.6569849881295413	0.530120330485203	0.8369539022484245	0.1734800451391501	0.4630033969584416	0.2186373149567573	-0.7607504735207321	-0.3344158226431817	-0.6602757147705011	0.2057981468330335	0.107974296414328	0.5272117286730618	0.3328591550974192	0.2565080972184083	0.1418768056192405	-0.6865585402820951	-0.9666796172352724	-0.2780149367271505	-0.4777394935309643	-0.5908989209156392	-0.8480885983052152	0.2108695109752627	-0.0432618455053527	0.7560599614250056	0.2772032944130386	0.2835780608522425	0.8986073133426072	0.9134786334538384	0.4188646053606648	0.4870381471642838
LightGCN	0.0700690885528961	0.0845784762635559	node-dropout	842	amazon-software	1532	0.317483857857372	-0.4982783510702285	2.0269058295964126	0.3068335717632214	0.0151990158339616	-1.8181845325629575	0.4298493133042185	0.3272689988215994	4.539259259259259	3.3893805309734515	6.869955156950673	0.6569849881295413	0.530120330485203	0.8369539022484245	0.1734800451391501	0.4630033969584416	0.2186373149567573	-0.7607504735207321	-0.3344158226431817	-0.6602757147705011	0.2057981468330335	0.107974296414328	0.5272117286730618	0.3328591550974192	0.2565080972184083	0.1418768056192405	-0.6865585402820951	-0.9666796172352724	-0.2780149367271505	-0.4777394935309643	-0.5908989209156392	-0.8480885983052152	0.2108695109752627	-0.0432618455053527	0.7560599614250056	0.2772032944130386	0.2835780608522425	0.8986073133426072	0.9134786334538384	0.4188646053606648	0.4870381471642838
UltraGCN	0.0472072645076184	0.0585929382015405	node-dropout	842	amazon-software	1532	0.317483857857372	-0.4982783510702285	2.0269058295964126	0.3068335717632214	0.0151990158339616	-1.8181845325629575	0.4298493133042185	0.3272689988215994	4.539259259259259	3.3893805309734515	6.869955156950673	0.6569849881295413	0.530120330485203	0.8369539022484245	0.1734800451391501	0.4630033969584416	0.2186373149567573	-0.7607504735207321	-0.3344158226431817	-0.6602757147705011	0.2057981468330335	0.107974296414328	0.5272117286730618	0.3328591550974192	0.2565080972184083	0.1418768056192405	-0.6865585402820951	-0.9666796172352724	-0.2780149367271505	-0.4777394935309643	-0.5908989209156392	-0.8480885983052152	0.2108695109752627	-0.0432618455053527	0.7560599614250056	0.2772032944130386	0.2835780608522425	0.8986073133426072	0.9134786334538384	0.4188646053606648	0.4870381471642838
DGCF	0.076065907220279	0.091314277655956	node-dropout	842	amazon-software	1532	0.317483857857372	-0.4982783510702285	2.0269058295964126	0.3068335717632214	0.0151990158339616	-1.8181845325629575	0.4298493133042185	0.3272689988215994	4.539259259259259	3.3893805309734515	6.869955156950673	0.6569849881295413	0.530120330485203	0.8369539022484245	0.1734800451391501	0.4630033969584416	0.2186373149567573	-0.7607504735207321	-0.3344158226431817	-0.6602757147705011	0.2057981468330335	0.107974296414328	0.5272117286730618	0.3328591550974192	0.2565080972184083	0.1418768056192405	-0.6865585402820951	-0.9666796172352724	-0.2780149367271505	-0.4777394935309643	-0.5908989209156392	-0.8480885983052152	0.2108695109752627	-0.0432618455053527	0.7560599614250056	0.2772032944130386	0.2835780608522425	0.8986073133426072	0.9134786334538384	0.4188646053606648	0.4870381471642838
LightGCN	0.0845657546276383	0.1176489716460219	edge-dropout	2	amazon-software	7445	1.6855752727184865	0.2267481515744843	2.4178966789667897	0.3834377387442323	0.0026204048763112	-2.581631601060774	0.4802352553411363	0.3106298791929318	4.01889338731444	2.840518885921404	6.868081180811808	0.6041064854368292	0.4533976811415945	0.8368354198858269	0.188577421002257	0.5080508132953326	0.2333084170063726	-0.7245103079992826	-0.2940928490740366	-0.632069592995864	0.2296991541879634	0.0891493188991789	0.5716776555130769	0.3542076828039128	0.2819723489681887	0.1156440575304312	-0.6388406039872836	-1.049881970485914	-0.2428487822076537	-0.4507420231483183	-0.5497934777775146	-0.9368766789162696	0.1784589315329054	-0.0051172276408184	0.777307012855794	0.2355826134104735	0.2861527468194986	0.8941954647548951	0.9081828854471006	0.3975654077884588	0.4463434246136775
DGCF	0.0849239475521164	0.1193608429623822	edge-dropout	2	amazon-software	7445	1.6855752727184865	0.2267481515744843	2.4178966789667897	0.3834377387442323	0.0026204048763112	-2.581631601060774	0.4802352553411363	0.3106298791929318	4.01889338731444	2.840518885921404	6.868081180811808	0.6041064854368292	0.4533976811415945	0.8368354198858269	0.188577421002257	0.5080508132953326	0.2333084170063726	-0.7245103079992826	-0.2940928490740366	-0.632069592995864	0.2296991541879634	0.0891493188991789	0.5716776555130769	0.3542076828039128	0.2819723489681887	0.1156440575304312	-0.6388406039872836	-1.049881970485914	-0.2428487822076537	-0.4507420231483183	-0.5497934777775146	-0.9368766789162696	0.1784589315329054	-0.0051172276408184	0.777307012855794	0.2355826134104735	0.2861527468194986	0.8941954647548951	0.9081828854471006	0.3975654077884588	0.4463434246136775
